IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.72.0,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,40,17.49
47.76.26.26,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,37,13.5
47.76.222.57,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,44,11.03
47.76.227.128,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,55,8.13
8.219.67.133,2096,2096,TRUE,SG,Asia Pacific,SGgapore,65,21.92
8.222.169.222,2096,2096,TRUE,SG,Asia Pacific,SGgapore,75,14.91
8.219.97.50,2096,2096,TRUE,SG,Asia Pacific,SGgapore,65,14.27
8.219.191.40,2096,2096,TRUE,SG,Asia Pacific,SGgapore,88,11.96
8.219.6.150,2096,2096,TRUE,SG,Asia Pacific,SGgapore,75,10.85
47.237.95.146,2096,2096,TRUE,SG,Asia Pacific,SGgapore,88,10.59
8.219.199.220,2096,2096,TRUE,SG,Asia Pacific,SGgapore,84,9.14
8.219.147.58,2096,2096,TRUE,SG,Asia Pacific,SGgapore,77,9.07
47.236.102.102,2096,2096,TRUE,SG,Asia Pacific,SGgapore,94,8.85
8.219.0.48,2096,2096,TRUE,SG,Asia Pacific,SGgapore,81,8.73
8.219.174.142,2096,2096,TRUE,SG,Asia Pacific,SGgapore,88,7.57
8.219.222.98,2096,2096,TRUE,SG,Asia Pacific,SGgapore,74,7.29
47.237.83.20,2096,2096,TRUE,SG,Asia Pacific,SGgapore,80,7.03
